"ABS","AEB","ActiveSafetySysNote","AdaptiveCruiseControl","AdaptiveDrivingBeam","AdditionalErrorText","AirBagLocCurtain","AirBagLocFront","AirBagLocKnee","AirBagLocSeatCushion","AirBagLocSide","Artemis","AutoReverseSystem","AutomaticPedestrainAlertingSound","AxleConfiguration","Axles","BasePrice","BatteryA","BatteryA_to","BatteryCells","BatteryInfo","BatteryKWh","BatteryKWh_to","BatteryModules","BatteryPacks","BatteryType","BatteryV","BatteryV_to","BedLengthIN","BedType","BlindSpotMon","BodyCabType","BodyClass","BrakeSystemDesc","BrakeSystemType","BusFloorConfigType","BusLength","BusType","CAFEBodyType","CAFEMake","CAFEModel","CAN_AACN","CashForClunkers","ChargerLevel","ChargerPowerKW","CoolingType","Country","CurbWeightLB","CustomMotorcycleType","DaytimeRunningLight","DestinationMarket","DisplacementCC","DisplacementCI","DisplacementL","Doors","DriveType","DynamicBrakeSupport","EDR","ESC","EVDriveUnit","ElectrificationLevel","EngineConfiguration","EngineCycles","EngineCylinders","EngineHP","EngineHP_to","EngineKW","EngineManufacturer","EngineModel","EntertainmentSystem","EquipmentType","ErrorCode","ForwardCollisionWarning","FuelInjectionType","FuelTypePrimary","FuelTypeSecondary","GVWR","KeylessIgnition","LaneDepartureWarning","LaneKeepSystem","LowerBeamHeadlampLightSource","Make","Manufacturer","ManufacturerId","ManufacturerType","Model","ModelYear","MotorcycleChassisType","MotorcycleSuspensionType","NCAPBodyType","NCAPMake","NCAPModel","NCICCode","NCSABodyType","NCSAMake","NCSAModel","Note","OtherBusInfo","OtherEngineInfo","OtherMotorcycleInfo","OtherRestraintSystemInfo","OtherTrailerInfo","ParkAssist","PedestrianAutomaticEmergencyBraking","PlantCity","PlantCompanyName","PlantCountry","PlantState","PossibleValues","Pretensioner","RearVisibilityCamera","SAEAutomationLevel","SAEAutomationLevel_to","SeatBeltsAll","SeatRows","Seats","SemiautomaticHeadlampBeamSwitching","Series","Series2","SteeringLocation","SuggestedVIN","TPMS","TopSpeedMPH","TrackWidth","TractionControl","TrailerBodyType","TrailerLength","TrailerType","TransmissionSpeeds","TransmissionStyle","Trim","Trim2","Turbo","VIN","ValveTrainDesign","VehicleType","WheelBaseLong","WheelBaseShort","WheelBaseType","WheelSizeFront","WheelSizeRear","Wheels","Windows"
"","","","","","","","1st Row (Driver & Passenger)","1st Row (Driver & Passenger)","","1st Row (Driver & Passenger)","","","","","","","","","","","","","","","","","","","","","","Sedan/Saloon","","","","","","","","","","","","","","","","","","","4395.0105648","268.2","4.4","4","","","","","","","","","8","448","540","334.0736","","","","","0 - VIN decoded clean. Check Digit (9th position) is correct","","","Gasoline","","","","","","","BMW","BMW AG","966","","750i / ALPINA B7","2015","","","","","","","","","","","","Engine Brake (hp) for 750i = 448Engine Brake (hp) for ALPINA B7 = 540","","","","","","Dingolfing","","Germany","","","Yes","","","","Manual","","","","7-Series","","","","Direct","","","","","","","","","750i xDrive /ALPINA B7 xDrive SWB (540 HP)","","","WBAYB6C58DC997953","","PASSENGER CAR","","","Short","","","",""
"","","","","","","All Rows","1st Row (Driver & Passenger)","","","1st Row (Driver & Passenger)","","","","","","","","","","","","","","","","","","","","","Extra/Super/ Quad/Double/King/Extended","Pickup","","Hydraulic","","","","","","","","","","","","","","","","","2500.0","152.55936023683","2.5","4","4x2","","","","","","In-Line","","4","","","","","LCV - SIDI; DCVCP; VVT;  E85 MAX, E0-E100, ALUM","","","0 - VIN decoded clean. Check Digit (9th position) is correct","","","Gasoline","","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)","","","","","CHEVROLET","GENERAL MOTORS LLC","984","","Silverado","2016","","","","","","","","","","","","","","","","","","Fort Wayne","GMNA","United States (USA)","Indiana","","","","","","Manual","","","","1500 LT","","","","","","","","","","","","","","","","1GCRCREA2BZ230013","Dual Overhead Cam (DOHC)","TRUCK ","","","","","","",""
"","","","","","","","1st Row (Driver & Passenger)","","","All Rows","","","","","","","","","","","","","","","","","","","","","","Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV)","","Hydraulic","","","","","","","","","","","","","","","","U.S., Canada, Mexico, Other Export Market (BUX)","3700.0","225.78785315050","3.7","4","4WD/4-Wheel Drive/4x4","","","","","","","","6","","","","","","","","0 - VIN decoded clean. Check Digit (9th position) is correct","","","Gasoline","","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)","","","","","JEEP","FCA US LLC","994","","Liberty/Cherokee","2016","","","","","","","","","","","","Sales Code for Engine - EKG. Sales Code for CNG Engine - EKH","","","","","","","Toledo North Assembly","","","","Yes","","","","Manual","","","","KK","L (Low Line)","Left Hand Drive (LHD)","","Direct","","","","","","","","","Sport","","No","1J4PN2GK0BW516677","","MULTIPURPOSE PASSENGER VEHICLE (MPV)","","","","","","",""
"","","","","","The error positions are indicated by ! in Suggested VIN. In the Possible values section, each pair of parenthesis indicate information about each error position in VIN . The Numeric value before the : indicates the position in error and the values after the : indicate the possible values that are allowed in this position","1st & 2nd Rows","1st Row (Driver & Passenger)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000.0","183.07123228419","3.0","","","","","","","","","","","","","","","3.0 SOHC MIVEC","","","5 - VIN has errors in few positions.","","","","","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)","","","","","MITSUBISHI","MITSUBISHI MOTORS CORPORATION (MMC)","1052","","","2017","","","","","","","","","","","","","","","","","","Okazaki","","Japan","Aichi","(5:12DHJPRUVXZ)(7:AFH)","","","","","Manual","","","","High","","","JA4M!4!X27Z021382","Direct","","","","","","","","","","","","JA4MS41X27Z021382","Single Overhead Cam (SOHC)","MULTIPURPOSE PASSENGER VEHICLE (MPV)","","","","","","",""
"","","","","","The error positions are indicated by ! in Suggested VIN. In the Possible values section, each pair of parenthesis indicate information about each error position in VIN . The Numeric value before the : indicates the position in error and the values after the : indicate the possible values that are allowed in this position","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5 - VIN has errors in few positions.","","","","","","","","","","VOLVO","VOLVO CAR USA, LLC","1006","","","2016","","","","","","","","","","","","","","","","","","Uddevalla Plant","Volvo Cars","Sweden","","(4:12469AB)(6:02M)(7:ABCDEFHKNPRSTUX)(8:JKLMNPRSTUVWXY)","","","","","","","","","","","","YV1!C!!!88J051345","Direct","","","","","","","","","","","","YV1MC67288J051345","","PASSENGER CAR","","","","","","",""
"","","","","","","","1st Row (Driver & Passenger)","","","","","","","","","","","","","","","","","","","","","","","","","Coupe","","","","","","","","","","","","","","","","","","","1600.0","97.5","1.6","2","","","","","","","","","4","181","","134.9717","","","","","0 - VIN decoded clean. Check Digit (9th position) is correct","","","Gasoline","","","","","","","MINI","BMW AG","966","","Cooper S Coupe","2015","","","","","","","","","","","","","","Manual Safety belts with driver and passenger dual-stage suppl.. restraint system (SRS) certified to the advanced aribag req'ments of FMVSS 208, S14","","","","Oxford","","United Kingdom (UK)","","","","","","","Manual","","","","Cooper S","","","","Direct","","","","","","","","","","","","WMWSX3C57CT465565","","PASSENGER CAR","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sedan/Saloon","","","","","","","","","","","","","","","","","","","6200.0","378.34721338734","6.2","4","","","","","","","","","8","","","","","LT1","","","3 - VIN corrected, error in one position (assuming Check Digit is correct)","","Stoichiometric gasoline direct injection (SGDI)","Gasoline","","","","","","","CADILLAC","GENERAL MOTORS LLC","984","","","2014","","","","","","","","","","Body type: 4Dr Sedan Notchback ","","Book Code: Y. AFM (Active Fuel Management), VVT, HO, Aluminum. GMNA.","","","","","","Lansing - Grand River","GMNA","United States (USA)","Michigan","(7:F)","","","","","","","","","","","","1G6DP5F7350128113","Direct","","","","","","","","","","","","1G6DP567350128113","","PASSENGER CAR","","","","","","","4"
"","","","","","","All Rows","1st Row (Driver & Passenger)","","","1st Row (Driver & Passenger)","","","","","","","","","","","","","","","","","","","","","","Sedan/Saloon","","","","","","","","","","","","","","","","","","","3600.0","219.68547874103","3.6","4","","","","","","","","","6","","","","","LFX","","","0 - VIN decoded clean. Check Digit (9th position) is correct","","Stoichiometric gasoline direct injection (SGDI)","Gasoline","Ethanol (E85)","","","","","","CHEVROLET","GENERAL MOTORS LLC","984","","Impala","2013","","","","","","","","","","","","","","","","","","Oshawa #2 (OST)","GMNA","Canada","ON (Ontario)","","","","","","Manual","","","","LTZ","","","","Direct","","","","","","","","","","","","2G1WC5E33D1194916","Dual Overhead Cam (DOHC)","PASSENGER CAR","","","","","","","6"
"","","","","","In the Possible values section, the Numeric value before the : indicates the position in error and the values after the : indicate the possible values that are allowed in this position.","1st & 2nd Rows","1st Row (Driver & Passenger)","","","1st Row (Driver & Passenger)","","","","","","","","","","","","","","","","","","","","","","Wagon","","","","","","","","","","","","","","","","","","","","","","","4x2","","","","","","","","","","","","","","","","4 - VIN corrected, error in one position only (indicated by ! in Suggested VIN), multiple matches found.","","","","","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)","","","","","HYUNDAI, KIA","HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI)","1034","","","2012","","","","","","","","","","","","","","","","","","Gwangju","Kia Motors Corporation","South Korea","","(5:ABCDEFGHJKSTUVW)","","","","","Manual","","","","","","","KNDJ!2A25E7072117","Direct","","","","","","","","","","","","KNDJN2A25E7072117","","MULTIPURPOSE PASSENGER VEHICLE (MPV)","","","","","","",""
"","","","","","","","1st Row (Driver & Passenger)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3 - VIN corrected, error in one position (assuming Check Digit is correct)","","","","","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)","","","","","BMW","BMW AG","966","","","2010","","","","","","","","","","","","","","Dual-stage suppl. restraint system (SRS) certified to the advanced airbag requiremnets of FMVSS 208, S14.","","","","Munich","","Germany","","(4:L)","","","","","Manual","","","","","","","WBALC1C51DK103470","Direct","","","","","","","","","","","","WBA3C1C51DK103470","","PASSENGER CAR","","","","","","",""
