JOB ID,LOAD STEP,STATUS,START TS,END TS,RUN TIME,LOCK TIME,TOTAL TIME,REFRESHED,INSERTED,UPDATED,DELETED,TOTAL I+U+D,TOTAL RECORDS,I+U+D/SEC,TOTAL/SEC,LOADED/SEC,                                                                                                                                          
256748219,INFORM,SUCCESS,06-30-2019 23:59,07-01-2019 00:51,0:52,0:0,,1197054,1940,1232,8,3180,1200234,1,381,,                                                                                                                                                                                               
256898363,INFORM STD,SUCCESS,07-01-2019 00:52,07-01-2019 00:52,26:45,45:0,,2524,196,205,2,403,2927,7,57,,                                                                                                                                                                                                      
256900671,RM1,WARNINGS,07-01-2019 00:53,07-01-2019 01:25,0:32,0:0,,616786,198,3313,2,3513,620299,1,320,,                                                                                                                                                                                                    
256912456,RM2,SUCCESS,07-01-2019 01:25,07-01-2019 01:38,0:13,0:0,,18396,175,3207,2,3384,21780,4,26,,                                                                                                                                                                                                        
256912460,RM2-RM_CM,SUCCESS,07-01-2019 01:25,07-01-2019 01:26,0:0,0:0,,1148,23,45,0,68,1216,2,45,,                                                                                                                                                                                                          
256917124,RM3,WARNINGS,07-01-2019 01:42,07-01-2019 01:47,0:5,0:0,1:48,206336,4127,99,3862,8088,214424,24,655,328,                                                                                                                                                                                           
,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                           
257067851,RM1,WARNINGS,07-01-2019 11:29,07-01-2019 13:50,2:20,0:0,,2493384,36906,215570,53,252529,2745913,29,325,,                                                                                                                                                                                          
257089660,RM2,WARNINGS,07-01-2019 13:50,07-01-2019 15:10,1:20,0:0,,2347801,36923,216191,56,253170,2600971,52,539,,                                                                                                                                                                                          
257090621,RM2-RM_CM,SUCCESS,07-01-2019 13:53,07-01-2019 14:02,0:8,0:0,,158525,0,16,0,16,158541,0,298,,                                                                                                                                                                                                      
257100863,RM3,WARNINGS,07-01-2019 15:13,07-01-2019 16:19,1:5,0:0,,2615252,293240,722,256372,550334,3165586,139,803,,                                                                                                                                                                                        
,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                           
257068246,RM1,WARNINGS,07-01-2019 11:34,07-01-2019 16:13,4:39,2:15,,2742110,14999,3696,55,18750,2760860,2,320,,                                                                                                                                                                                             
257110106,RM2,WARNINGS,07-01-2019 16:13,07-01-2019 17:12,0:58,0:0,,2598394,14772,2474,47,17293,2615687,4,742,,                                                                                                                                                                                              
257110139,RM2-RM_CM,SUCCESS,07-01-2019 16:14,07-01-2019 16:20,0:5,0:0,,158416,151,125,0,276,158692,0,456,,                                                                                                                                                                                                  
257118599,RM3,WARNINGS,07-01-2019 17:17,07-01-2019 18:15,0:58,0:0,,2906653,15743,2420,141,18304,2924957,5,838,,                                                                                                                                                                                             
,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                           
256847937,INFORM,SUCCESS,07-01-2019 11:59,07-01-2019 13:26,1:27,0:0,,1196739,14705,9661,94,24460,1221199,4,232,,                                                                                                                                                                                            
257082966,INFORM STD,SUCCESS,07-01-2019 13:27,07-01-2019 13:28,0:1,0:0,,18102,1578,1523,21,3122,21224,38,262,,                                                                                                                                                                                              
257083279,RM1,WARNINGS,07-01-2019 13:28,07-01-2019 18:48,5:19,2:44,,782513,32233,114683,27,146943,929456,15,100,,                                                                                                                                                                                           
257135126,RM2,SUCCESS,07-01-2019 18:48,07-01-2019 18:53,0:4,0:0,,1336,0,1,0,1,1337,0,4,,                                                                                                                                                                                                                    
257135730,RM2-RM_CM,SUCCESS,07-01-2019 18:49,07-01-2019 18:51,0:2,0:0,,0,0,0,0,0,0,0,0,,                                                                                                                                                                                                                    
257141342,RM3,SUCCESS,07-01-2019 19:02,07-01-2019 19:05,0:2,0:0,7:5,22059,0,1,0,1,22060,0,161,145,                                                                                                                                                                                                          
,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                           
257095385,RM1,WARNINGS,07-01-2019 14:26,07-01-2019 20:41,6:14,4:21,,2793010,0,4,0,4,2793014,0,411,,                                                                                                                                                                                                         
257160342,RM2,WARNINGS,07-01-2019 20:41,07-01-2019 21:33,0:52,0:0,,2500927,32233,114686,27,146946,2647873,46,846,,                                                                                                                                                                                          
257160352,RM2-RM_CM,SUCCESS,07-01-2019 20:41,07-01-2019 20:43,0:2,0:0,,158692,0,0,0,0,158692,0,1175,,                                                                                                                                                                                                       
257164682,RM3,WARNINGS,07-01-2019 21:36,07-01-2019 22:25,0:49,0:0,,2511076,445914,39,413701,859654,3370730,292,1145,,                                                                                                                                                                                       
,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                           
257182364,RM1,WARNINGS,07-01-2019 22:57,07-02-2019 00:27,1:29,0:0,,2757206,36827,148,35722,72697,2829903,13,525,,                                                                                                                                                                                           
257196907,RM2,WARNINGS,07-02-2019 00:27,07-02-2019 01:04,0:36,0:0,,2611976,36827,148,35722,72697,2684673,32,1213,,                                                                                                                                                                                          
257196996,RM2-RM_CM,SUCCESS,07-02-2019 00:28,07-02-2019 00:31,0:3,0:0,,158640,0,52,0,52,158692,0,839,,                                                                                                                                                                                                      
257328994,RM3,WARNINGS,07-02-2019 01:14,07-02-2019 01:52,0:38,0:0,,2921148,36819,167,35714,72700,2993848,31,1293,,                                                                                                                                                                                          
,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                           
257071471,INFORM,SUCCESS,07-01-2019 23:59,07-02-2019 01:27,1:27,0:0,,1196920,11245,10076,81,21402,1218322,4,231,,                                                                                                                                                                                           
257343265,INFORM STD,SUCCESS,07-02-2019 01:27,07-02-2019 01:28,0:1,0:0,,20735,1104,1779,16,2899,23634,40,332,,                                                                                                                                                                                              
257344077,RM1,WARNINGS,07-02-2019 01:28,07-02-2019 03:29,2:0,0:0,,2258702,1139,3892,16,5047,2263749,0,311,,                                                                                                                                                                                                 
257460246,RM2,SUCCESS,07-02-2019 03:29,07-02-2019 04:17,0:47,0:0,,2131149,985,2157,14,3156,2134305,1,747,,                                                                                                                                                                                                  
257460281,RM2-RM_CM,SUCCESS,07-02-2019 03:30,07-02-2019 03:31,0:1,0:0,,12734,106,145,0,251,12985,3,196,,                                                                                                                                                                                                    
257463704,RM3,WARNINGS,07-02-2019 04:19,07-02-2019 05:11,0:51,0:0,5:11,2582655,1607,2157,85,3849,2586504,1,837,443,                                                                                                                                                                                         
,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                           
